Flight_ID,From,To,Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,Class
1,Islamabad,Dubai,1715575087,2024-05-13T04:38:07Z,UAE613,"33.55925,72.742668",3525,227,277,civil
1,Islamabad,Dubai,1715575096,2024-05-13T04:38:16Z,UAE613,"33.560207,72.730522",3650,237,273,civil
1,Islamabad,Dubai,1715575099,2024-05-13T04:38:19Z,UAE613,"33.560299,72.726349",3725,240,271,civil
1,Islamabad,Dubai,1715575102,2024-05-13T04:38:22Z,UAE613,"33.560303,72.722321",3775,244,270,civil
1,Islamabad,Dubai,1715575106,2024-05-13T04:38:26Z,UAE613,"33.560345,72.717529",3850,246,270,civil
1,Islamabad,Dubai,1715575109,2024-05-13T04:38:29Z,UAE613,"33.560349,72.713295",3925,251,270,civil
1,Islamabad,Dubai,1715575112,2024-05-13T04:38:32Z,UAE613,"33.560345,72.708603",3975,254,270,civil
1,Islamabad,Dubai,1715575115,2024-05-13T04:38:35Z,UAE613,"33.560345,72.704315",4050,257,269,civil
1,Islamabad,Dubai,1715575119,2024-05-13T04:38:39Z,UAE613,"33.560299,72.699394",4100,260,269,civil
1,Islamabad,Dubai,1715575127,2024-05-13T04:38:47Z,UAE613,"33.560162,72.686523",4300,268,269,civil
1,Islamabad,Dubai,1715575136,2024-05-13T04:38:56Z,UAE613,"33.560066,72.673531",4675,269,269,civil
1,Islamabad,Dubai,1715575146,2024-05-13T04:39:06Z,UAE613,"33.559937,72.659088",5100,268,269,civil
1,Islamabad,Dubai,1715575159,2024-05-13T04:39:19Z,UAE613,"33.559525,72.639076",5600,272,268,civil
1,Islamabad,Dubai,1715575175,2024-05-13T04:39:35Z,UAE613,"33.559021,72.615204",6250,274,268,civil
1,Islamabad,Dubai,1715575187,2024-05-13T04:39:47Z,UAE613,"33.558655,72.59642",6750,275,268,civil
1,Islamabad,Dubai,1715575203,2024-05-13T04:40:03Z,UAE613,"33.558159,72.572647",7375,276,268,civil
1,Islamabad,Dubai,1715575219,2024-05-13T04:40:19Z,UAE613,"33.557739,72.548676",8025,278,268,civil
1,Islamabad,Dubai,1715575231,2024-05-13T04:40:31Z,UAE613,"33.557415,72.529106",8525,280,268,civil
1,Islamabad,Dubai,1715575247,2024-05-13T04:40:47Z,UAE613,"33.557053,72.504944",9075,284,269,civil
1,Islamabad,Dubai,1715575260,2024-05-13T04:41:00Z,UAE613,"33.556824,72.484825",9575,284,268,civil
1,Islamabad,Dubai,1715575275,2024-05-13T04:41:15Z,UAE613,"33.556503,72.460548",10200,284,268,civil
1,Islamabad,Dubai,1715575288,2024-05-13T04:41:28Z,UAE613,"33.556183,72.440819",10700,285,268,civil
1,Islamabad,Dubai,1715575303,2024-05-13T04:41:43Z,UAE613,"33.555771,72.416382",11400,286,268,civil
1,Islamabad,Dubai,1715575318,2024-05-13T04:41:58Z,UAE613,"33.555367,72.392235",12125,289,269,civil
1,Islamabad,Dubai,1715575349,2024-05-13T04:42:29Z,UAE613,"33.554443,72.340149",12975,324,268,civil
1,Islamabad,Dubai,1715575380,2024-05-13T04:43:00Z,UAE613,"33.553268,72.280769",13550,364,268,civil
1,Islamabad,Dubai,1715575411,2024-05-13T04:43:31Z,UAE613,"33.552063,72.21521",14550,387,268,civil
1,Islamabad,Dubai,1715575442,2024-05-13T04:44:02Z,UAE613,"33.550735,72.147949",16075,393,268,civil
1,Islamabad,Dubai,1715575473,2024-05-13T04:44:33Z,UAE613,"33.549454,72.08004",17550,399,268,civil
1,Islamabad,Dubai,1715575507,2024-05-13T04:45:07Z,UAE613,"33.547825,72.004913",19125,403,267,civil
1,Islamabad,Dubai,1715575540,2024-05-13T04:45:40Z,UAE613,"33.543262,71.930862",20425,415,265,civil
